location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"cleveland, oh",accident,2013-03-29,united states,non-fatal,helicopter,schweizer,269c-1,1.0,reciprocating,0.0,0.0,1.0,0.0,041313N,0081410W,no,cleveland,oh
"houston, tx",incident,2013-03-29,united states,non-fatal,airplane,embraer,erj-145,2.0,turbo fan,0.0,0.0,0.0,0.0,029594N,0952029W,no,houston,tx
"roswell, nm",accident,2013-03-29,united states,non-fatal,airplane,cessna,180,1.0,reciprocating,0.0,0.0,0.0,0.0,033183N,1043130W,no,roswell,nm
"thermal, ca",accident,2013-03-30,united states,non-fatal,airplane,waco,ymf-3,1.0,reciprocating,0.0,0.0,0.0,0.0,333222N,0116920W,no,thermal,ca
"willoughby, oh",accident,2013-03-30,united states,non-fatal,airplane,cessna,310q,2.0,reciprocating,0.0,0.0,0.0,0.0,413355N,0812911W,no,willoughby,oh
"waldport, or",accident,2013-03-30,united states,non-fatal,airplane,vans,rv12,1.0,reciprocating,0.0,0.0,0.0,0.0,044234N,0012456W,no,waldport,or
"bally, pa",accident,2013-03-30,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,402332N,0753331W,no,bally,pa
"immokalee, fl",accident,2013-03-30,united states,non-fatal,airplane,cessna,172r,1.0,reciprocating,0.0,0.0,0.0,0.0,026262N,0081245W,no,immokalee,fl
"daytona beach, fl",accident,2013-03-30,united states,non-fatal,airplane,piper,j3l-65,1.0,reciprocating,0.0,0.0,0.0,0.0,029429N,0081228W,no,daytona beach,fl
"winston-salem, nc",accident,2013-03-31,united states,fatal,airplane,lancair,lc42 - 550fg,1.0,reciprocating,2.0,0.0,0.0,0.0,003670N,0801710W,no,winston-salem,nc
"castle rock, co",accident,2013-03-31,united states,fatal,airplane,piper,pa-28-140,1.0,reciprocating,1.0,0.0,0.0,0.0,039189N,1044530W,no,castle rock,co
"brush praire, wa",accident,2013-04-01,united states,non-fatal,airplane,cessna,150,1.0,reciprocating,0.0,0.0,0.0,0.0,454327N,1223228W,no,brush praire,wa
